id,long,lat,banco,red,ubicacion,localidad,terminales,no_vidente,dolares,calle,altura,calle2,barrio,comuna,codigo_postal,codigo_postal_argentino
40259,-58.4569330646409,-34.6408792211273,Banco Santander Río,BANELCO,"PERON, EVA AV. Y VARELA AV.",CABA,1,False,False,"PERON, EVA AV.",0,VARELA AV.,Flores,Comuna 7,,
41024,-58.3750269593121,-34.6057978215793,CitiBank,BANELCO,"PERON, JUAN DOMINGO, TTE. GENERAL Y FLORIDA",CABA,7,False,False,"PERON, JUAN DOMINGO, TTE. GENERAL",0,FLORIDA,San Nicolas,Comuna 1,,
39947,-58.3677194429835,-34.6046482309756,Banco Macro,BANELCO,"PERON, JUAN DOMINGO, TTE. GENERAL Y GUEMES, MACACHA",CABA,1,False,False,"PERON, JUAN DOMINGO, TTE. GENERAL",0,"GUEMES, MACACHA",Puerto Madero,Comuna 1,,
41342,-58.3758228925155,-34.6057476165529,ICBC,BANELCO,"PERON, JUAN DOMINGO, TTE. GENERAL Y MAIPU",CABA,1,False,False,"PERON, JUAN DOMINGO, TTE. GENERAL",0,MAIPU,San Nicolas,Comuna 1,,
41004,-58.3765711210064,-34.6053188031227,Banco Galicia,BANELCO,"PERON, JUAN DOMINGO, TTE. GENERAL Y MAIPU",CABA,3,False,False,"PERON, JUAN DOMINGO, TTE. GENERAL",0,MAIPU,San Nicolas,Comuna 1,,
41246,-58.3886650401382,-34.6066067734905,ICBC,BANELCO,"PERON, JUAN DOMINGO, TTE. GENERAL Y MONTEVIDEO",CABA,1,False,False,"PERON, JUAN DOMINGO, TTE. GENERAL",0,MONTEVIDEO,San Nicolas,Comuna 1,,
39707,-58.3716862163599,-34.6055054311966,Banco Columbia,BANELCO,"PERON, JUAN DOMINGO, TTE. GENERAL Y RECONQUISTA",CABA,1,False,False,"PERON, JUAN DOMINGO, TTE. GENERAL",0,RECONQUISTA,San Nicolas,Comuna 1,,
40899,-58.3730007724775,-34.6056018269873,Banco Galicia,BANELCO,"PERON, JUAN DOMINGO, TTE. GENERAL Y RECONQUISTA",CABA,3,False,False,"PERON, JUAN DOMINGO, TTE. GENERAL",0,RECONQUISTA,San Nicolas,Comuna 1,,
40625,-58.3775194628479,-34.6055787044262,BBVA Banco Francés,BANELCO,"PERON, JUAN DOMINGO, TTE. GENERAL Y SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV.",CABA,1,False,False,"PERON, JUAN DOMINGO, TTE. GENERAL",0,"SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV.",San Nicolas,Comuna 1,,
39720,-58.3844772618361,-34.6063649884167,Banco Columbia,BANELCO,"PERON, JUAN DOMINGO, TTE. GENERAL Y TALCAHUANO",CABA,1,False,False,"PERON, JUAN DOMINGO, TTE. GENERAL",0,TALCAHUANO,San Nicolas,Comuna 1,,
41018,-58.4632138436493,-34.6289510179889,CitiBank,BANELCO,PESCADORES Y RIVADAVIA AV.,CABA,3,False,False,PESCADORES,0,RIVADAVIA AV.,Flores,Comuna 7,,
40216,-58.4905502097669,-34.5474996277581,Banco Santander Río,BANELCO,PICO Y TRONADOR,CABA,1,False,False,PICO,0,TRONADOR,Saavedra,Comuna 12,,
40123,-58.3646662263765,-34.6015608449622,Banco Santander Río,BANELCO,PIERINA DEALESSI 360,CABA,3,False,False,"DEALESSI, PIERINA",360,,Puerto Madero,Comuna 1,,
40186,-58.5038862708839,-34.6583399884621,Banco Santander Río,BANELCO,"PILAR Y RODO, JOSE E.",CABA,1,False,False,PILAR,0,"RODO, JOSE E.",Mataderos,Comuna 9,,
41130,-58.4672825782447,-34.5402851779871,HSBC Bank Argentina,BANELCO,"PISSARRO, VICTOR Y RAMALLO",CABA,1,False,False,"PISSARRO, VICTOR",0,RAMALLO,Nuñez,Comuna 13,,
40385,-58.5206662381797,-34.6389504628905,Banco Santander Río,BANELCO,PJE.PARTICULAR (ALT. RIVADAVIA 11080) Y RIVADAVIA AV.,CABA,1,False,False,PJE.PARTICULAR (ALT. RIVADAVIA 11080),0,RIVADAVIA AV.,Liniers,Comuna 9,,
40830,-58.418188431577,-34.6410300147207,Banco Galicia,BANELCO,"POMAR, GREGORIO TTE. CNEL. Y QUILMES",CABA,1,False,False,"POMAR, GREGORIO TTE. CNEL.",0,QUILMES,Nueva Pompeya,Comuna 4,,
40490,-58.4421368370692,-34.61254174716,Banco Supervielle,BANELCO,"PUEYRREDON, HONORIO, DR. AV. Y VALLESE, FELIPE",CABA,1,False,False,"PUEYRREDON, HONORIO, DR. AV.",0,"VALLESE, FELIPE",Caballito,Comuna 6,,
40399,-58.4179495278856,-34.6419203362219,Banco Santander Río,BANELCO,QUILMES Y USPALLATA,CABA,1,False,False,QUILMES,0,USPALLATA,Nueva Pompeya,Comuna 4,,
40412,-58.4178972270257,-34.6421080407644,Banco Supervielle,BANELCO,QUILMES Y USPALLATA,CABA,1,False,False,QUILMES,0,USPALLATA,Nueva Pompeya,Comuna 4,,
40653,-58.4179129272842,-34.6420517394019,BBVA Banco Francés,BANELCO,QUILMES Y USPALLATA,CABA,2,False,False,QUILMES,0,USPALLATA,Nueva Pompeya,Comuna 4,,
41189,-58.4181680353072,-34.6416700294354,HSBC Bank Argentina,BANELCO,QUILMES Y USPALLATA,CABA,3,False,False,QUILMES,0,USPALLATA,Nueva Pompeya,Comuna 4,,
40607,-58.3752415382365,-34.6436007834454,BBVA Banco Francés,BANELCO,"QUINQUELA MARTIN, BENITO Y HORNOS, GRAL.",CABA,1,False,False,"QUINQUELA MARTIN, BENITO",0,"HORNOS, GRAL.",Barracas,Comuna 4,,
40748,-58.4767021808853,-34.5968002184432,Banco Galicia,BANELCO,RAULIES Y WARNES AV.,CABA,1,False,False,RAULIES,0,WARNES AV.,Paternal,Comuna 15,,
41260,-58.3734562043325,-34.5954067424699,ICBC,BANELCO,Reconquista 1070,CABA,2,False,False,RECONQUISTA,1070,,Retiro,Comuna 1,1003,C1003ABV
40377,-58.3734521358329,-34.5949282928251,Banco Santander Río,BANELCO,RECONQUISTA 1104,CABA,2,False,False,RECONQUISTA,1104,,Retiro,Comuna 1,1003,C1003ABX
40612,-58.3720880448225,-34.6058025268717,BBVA Banco Francés,BANELCO,RECONQUISTA 175,CABA,6,False,False,RECONQUISTA,175,,San Nicolas,Comuna 1,1003,C1003ABC
40482,-58.3726279030986,-34.6040044977548,Banco Supervielle,BANELCO,RECONQUISTA 330,CABA,3,False,False,RECONQUISTA,330,,San Nicolas,Comuna 1,1003,C1003ABH
